NUCLEUS	A	Z	N	SPIN	PARITY	P-factor	Beta_2	MAGNETIC MOMENT [µ]	QUADRUPOLE MOMENT [Q]	Nn	Np
1 H 2	2	1	1	1	1	0.5		0.857438228	0.002860	1	1
3 Li 6	6	3	3	1	1	0.5		0.82205667	-0.00083	1	1
3 Li 8	8	3	5	2	1	0.75	1,024	1.65356	0.0314	3	1
5 B 8	8	5	3	2	1	0.75		1.0355	0.0683	1	3
5 B 10	10	5	5	3	1	1.5		1.80064478	0.08472	3	3
5 B 12	12	5	7	1	1	0.75	0.701	1.00306	0.0134	1	3
5 B 14	14	5	9	2	-1	0.75	0.88	1.185	0.0297	1	3
7 N 12	12	7	5	1	1	0.75	0.701	0.4571	0.098	3	1
7 N 14	14	7	7	1	1	0.5	0.583	0.40376100	0.0208	1	1
7 N 16	16	7	9	2	-1	0.5	0.361	1.9859	0.018	1	1
7 N 18	18	7	11	1	-1	0.75	0.323	0.3273	0.0123	3	1
9 F 20	20	9	11	2	1	0.75	0.347	2.09335	-0.042	3	1
9 F 22	22	9	13	4	1	0.857142857	0.269	2.6944	0.003	6	1
11 Na 20	20	11	9	2	1	0.75	0.661	0.3694	0.101	1	3
11 Na 22	22	11	11	3	1	1.5	0.721	1.746	0.180	3	3
11 Na 24	24	11	13	4	1	2	0.5616	1.6903		6	3
11 Na 26	26	11	15	3	1	1.875	0.418	2.851	−0.0053	5	3
11 Na 28	28	11	17	1	1	1.5	0.413	2.426	0.395	3	3
11 Na 30	30	11	19	2	1	0.75	0.367	2.083	0.51	1	3
13 Al 26	26	13	13	5	1	2.5	0.6092	2.804	0.265	5	5
13 Al 28	28	13	15	3	1	2.5	0.4891	3.245	0.172	5	5
13 Al 30	30	13	17	3	1	1.875	0.503	3.027	0.121	3	5
13 Al 32	32	13	19	1	1	0.833333333	0.415	1.953	0.025	1	5
13 Al 34	34	13	21	4	-1	0.833333333	0.501	2.156	0.038	1	5
15 P 28	28	15	13	3	1	2.5	0.439	0.3115	0.137	5	5
15 P 32	32	15	17	1	1	1.875	0.3105	-0.252		3	5
17 Cl 32	32	17	15	1	1	1.875	0.339	1.114		5	3
17 Cl 36	36	17	19	2	1	0.75	0.250	1.28547	-0.0180	1	3
17 Cl 38	38	17	21	2	-1	0.75	0.1569	2.05		1	3
17 Cl 44	44	17	27	2	-1	0.75	0.300	-0.2749		1	3
19 K 36	36	19	17	2	1	0.75	0.261	0.548		3	1
19 K 38	38	19	19	3	1	0.5	0.257	1.371		1	1
19 K 40	40	19	21	4	-1	0.5	0.1595	-1.298100	−0.061	1	1
19 K 42	42	19	23	2	-1	0.75	0.2519	-1.1425		3	1
19 K 44	44	19	25	2	-1	0.75	0.273	-0.856		3	1
19 K 46	46	19	27	2	-1	0.5	0.246	-1.051		1	1
19 K 48	48	19	29	1	-1	0.5	0.196	-0.8997		1	1
21 Sc 40	40	21	19	4	-1	0.5	0.127	5.57		1	1
21 Sc 44	44	21	23	2	1	0.75	0.2312	2.56	0.10	3	1
21 Sc 46	46	21	25	4	1	0.75	0.2522	3.03	0.119	3	1
21 Sc 48	48	21	27	6	1	0.5	0.1468	3.785		1	1
23 V 48	48	23	25	4	1	1.5	0.3175	2.012		3	3
23 V 50	50	23	27	6	1	0.75	0.2575	3.339562	0.21	1	3
25 Mn 52	52	25	27	6	1	0.75	0.2897	3.0543	0.53	1	3
25 Mn 54	54	25	29	3	1	0.75	0.2170	3.2724	0.35	1	3
25 Mn 56	56	25	31	3	1	1.5	0.2478	3.2266	0.24	3	3
25 Mn 58	58	25	33	1	1	2.5	0.195	2.624	0.03	5	5
